method,K,p1,p2,p3,p4,p5,p6,n_trials,T_max,asc_confidence,delta,epsilon,seed,include_final_wasteful,d_hat,lower_bound,empirical_mean,empirical_sem,n_valid,n_hit_cap,tilde_gap
PPR-1v1,4,0.7671052631578945,0.07763157894736843,0.07763157894736843,0.07763157894736843,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,12.66,0.1467796195990054,1.963,0.08440826829023183,1000,0,0.8161993769470405
ASC,4,0.7986842105263158,0.06710526315789475,0.06710526315789475,0.06710526315789475,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,4.824,0.11472858040035988,1.671,0.05249299490898299,1000,0,0.8449848024316109
PPR-1v1,4,0.7986842105263158,0.06710526315789475,0.06710526315789475,0.06710526315789475,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,12.003,0.11484716638005021,1.764,0.07029399153018162,1000,0,0.8449848024316109
ASC,4,0.8302631578947368,0.05657894736842106,0.05657894736842106,0.05657894736842106,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,4.703,0.08802666105146688,1.532,0.04577194633256347,1000,0,0.8724035608308605
PPR-1v1,4,0.8302631578947368,0.05657894736842106,0.05657894736842106,0.05657894736842106,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,11.637,0.08807960578744002,1.591,0.05769790332454073,1000,0,0.8724035608308605
ASC,4,0.861842105263158,0.04605263157894738,0.04605263157894738,0.04605263157894738,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,4.569,0.06547917812330879,1.461,0.04047365954688453,1000,0,0.8985507246376812
PPR-1v1,4,0.861842105263158,0.04605263157894738,0.04605263157894738,0.04605263157894738,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,11.165,0.06550110809125363,1.449,0.04478174186434025,1000,0,0.8985507246376812
ASC,4,0.8934210526315791,0.03552631578947369,0.03552631578947369,0.03552631578947369,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,4.445,0.046343834670618415,1.308,0.0334702294025042,1000,0,0.9235127478753541
PPR-1v1,4,0.8934210526315791,0.03552631578947369,0.03552631578947369,0.03552631578947369,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,10.634,0.04635109372226141,1.401,0.04183239114548616,1000,0,0.9235127478753541
ASC,4,0.925,0.024999999999999994,0.024999999999999994,0.024999999999999994,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,4.295,0.0300282868338725,1.2,0.025072467541680625,1000,0,0.9473684210526316
PPR-1v1,4,0.925,0.024999999999999994,0.024999999999999994,0.024999999999999994,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,10.175,0.03003003002999275,1.274,0.03224847227333357,1000,0,0.9473684210526316
ASC,5,0.28,0.18,0.18,0.18,0.18,0.0,1000,4096,0.95,0.1,0.0,0,True,15.723,6.105823656186929,27.928,2.198716710076851,1000,0,0.21739130434782616
PPR-1v1,5,0.28,0.18,0.18,0.18,0.18,0.0,1000,4096,0.95,0.1,0.0,0,True,68.23,6.428554518762122,25.935,2.4610639184325573,1000,0,0.21739130434782616
ASC,5,0.3136842105263158,0.17157894736842105,0.17157894736842105,0.17157894736842105,0.17157894736842105,0.0,1000,4096,0.95,0.1,0.0,0,True,12.467,3.735168547300212,18.272,1.390874022529196,1000,0,0.29284164859002165
PPR-1v1,5,0.3136842105263158,0.17157894736842105,0.17157894736842105,0.17157894736842105,0.17157894736842105,0.0,1000,4096,0.95,0.1,0.0,0,True,48.813,3.849110766867887,12.25,0.880984468440638,1000,0,0.29284164859002165
